,Discount price,Original Price,Product Brand,Product Category Code,Product Name,Promo Tag,Rating,Raw Product,Review,Sales,Vendor,Discount,Price Range,Product Category,Revenue
71,360,660,Biotherm,AA16107520001,Homme T-Pur Anti Oil &amp; Shine Ultra Absorbing &amp; Mattifying Moisturizer Gel  -[Parallel Import Product],2-day group shipment,,Biotherm - Homme T-Pur Anti Oil &amp; Shine Ultra Absorbing &amp; Mattifying Moisturizer Gel  -[Parallel Import Product],,40.0,Beautique,300,301-400,Moisturizer,14400.0
72,284,417,Shiseido,AA16107520001,Men Moisturizing Emulsion  -[Parallel Import Product],2-day group shipment,4.5,Shiseido - Men Moisturizing Emulsion  -[Parallel Import Product],2.0,100.0,Beautique,133,201-300,Moisturizer,28400.0
73,268,459,Biotherm,AA16107520001,Homme T-Pur Anti Oil &amp; Shine Ultra Absorbing &amp; Mattifying Moisturizer Gel  -[Parallel Import Product],2-day group shipment,5.0,Biotherm - Homme T-Pur Anti Oil &amp; Shine Ultra Absorbing &amp; Mattifying Moisturizer Gel  -[Parallel Import Product],2.0,100.0,Beautique,191,201-300,Moisturizer,26800.0
74,139,459,Mentholatum for Men,AA16107520001,HY Skin Active Serum-in-cream,immediate shipment,,Mentholatum for Men - HY Skin Active Serum-in-cream,,80.0,Mentholatum,320,101-200,Moisturizer,11120.0
75,124,155,L'Oreal Paris,AA16107520001,Men Expert Hydra Power Serum*271187,2-day group shipment,5.0,L'Oreal Paris - Men Expert Hydra Power Serum*271187,1.0,40.0,L’Oreal Paris HK Flagship Store,31,101-200,Moisturizer,4960.0
76,223,415,Clarins,AA16107520001,Men Super Moisture Gel (New Packaging)  -[Parallel Import Product],2-day group shipment,,Clarins - Men Super Moisture Gel (New Packaging)  -[Parallel Import Product],,30.0,Beautique,192,201-300,Moisturizer,6690.0
77,63,79,L'Oreal Paris,AA16107510001,Men Expert Pure & Matte Invisible Cleanser*071793,2-day group shipment,5.0,L'Oreal Paris - Men Expert Pure & Matte Invisible Cleanser*071793,2.0,40.0,L’Oreal Paris HK Flagship Store,16,0-100,Cleanser,2520.0
78,70,133,AXE,AA16107530001,AFTERSHAVE EXCITE 100ml (parallel import goods),2-day group shipment,1.0,AXE - AFTERSHAVE EXCITE 100ml (parallel import goods),1.0,20.0,SH SUPPLIES,63,0-100,After Shave Care,1400.0
79,124,278,Sulwhasoo 雪花秀,AA16100510001,Gentle Cleansing Foam 200ml (8809559331021/8809685828570) (Random shipment of new and old packaging),2-day group shipment,5.0,Sulwhasoo 雪花秀 - Gentle Cleansing Foam 200ml (8809559331021/8809685828570) (Random shipment of new and old packaging),2.0,100.0,Wishh Beauty,154,101-200,Cleansing Milk,12400.0
80,241,449,Kiehl's,AA16107520001,Facial Fuel Energizing Moisture Treatment For Men  -[Parallel Import Product],2-day group shipment,2.5,Kiehl's - Facial Fuel Energizing Moisture Treatment For Men  -[Parallel Import Product],2.0,100.0,Beautique,208,201-300,Moisturizer,24100.0
81,26,55,Shiseido,AA16100510001,Scrub)(4901872449682),2-day group shipment,4.2,Shiseido - UNO Whip Wash Scrub Cleanser 130g (Blue - Scrub)(4901872449682),5.0,300.0,Jadora 日本美妝護膚,29,0-100,Cleansing Milk,7800.0
82,70,133,AXE,AA16107530001,AFTERSHAVE AFRICA 100ml (parallel import goods),2-day group shipment,,AXE - AFTERSHAVE AFRICA 100ml (parallel import goods),,10.0,SH SUPPLIES,63,0-100,After Shave Care,700.0
83,76,169,L'oreal,AA16107520001,Men Expert Vita Lift 5 Daily Moisturiser  -[Parallel Import Product],2-day group shipment,5.0,L'oreal - Men Expert Vita Lift 5 Daily Moisturiser  -[Parallel Import Product],2.0,100.0,Beautique,93,0-100,Moisturizer,7600.0
